"Timestamp","Player","Who does Arya kill and strike off her kill list?"
"2017/07/24 10:45:22 AM GMT+8","Ser Certainly Cersie","Thoros of Myr;Ilyn Payne"
"2017/07/25 4:44:09 AM GMT+8","Yanneqi Silverscale","Cercei Lannister"
"2017/07/25 7:56:27 AM GMT+8","Ser Perfluous","The Mountain"
"2017/07/25 3:53:01 PM GMT+8","δράκ0tʃɪk","None"
"2017/07/25 4:00:53 PM GMT+8","No Name","None"
"2017/07/25 5:38:49 PM GMT+8","Kirsty of House Wooden Spoon","Cercei Lannister"
"2017/07/26 2:03:19 PM GMT+8","Ivarius Ironsight","The Mountain;The Red Woman"
"2017/07/27 10:09:47 PM GMT+8","Septa Palindrome","The Mountain;Ilyn Payne"
"2017/07/28 8:56:54 AM GMT+8","Ser Clau","The Red Woman;Ilyn Payne"
"2017/07/31 1:47:40 PM GMT+8","The Ochre Otter","The Red Woman;Ilyn Payne"
"2017/07/31 8:05:33 PM GMT+8","Overqueen Sherin of the Glades Green","The Red Woman;Ilyn Payne"